Sub,Subject,Location,Country,Year,Unit Code,Unit,Power Code,Power Code,Value,Power Code
WASTE_T1B,Total amount generated of municipal waste,AUS,Australia,2011,TONNE,Tonnes,3,Thousands,13462.518999999998,3
WASTE_T1B,Total amount generated of municipal waste,AUS,Australia,2012,TONNE,Tonnes,3,Thousands,13344.891000000001,3
WASTE_T1B,Total amount generated of municipal waste,AUS,Australia,2013,TONNE,Tonnes,3,Thousands,13227.263,3
WASTE_T1B,Total amount generated of municipal waste,AUS,Australia,2014,TONNE,Tonnes,3,Thousands,13109.635,3
WASTE_T1B,Total amount generated of municipal waste,AUS,Australia,2015,TONNE,Tonnes,3,Thousands,13344.538999999999,3
ODA_T1B,Net official development assistance; as a percentage of gross national income,AUS,Australia,2011,USD,US Dollar,6,Millions,4982.91,6
ODA_T1B,Net official development assistance; as a percentage of gross national income,AUS,Australia,2012,USD,US Dollar,6,Millions,5402.7,6
ODA_T1B,Net official development assistance; as a percentage of gross national income,AUS,Australia,2013,USD,US Dollar,6,Millions,4845.55,6
ODA_T1B,Net official development assistance; as a percentage of gross national income,AUS,Australia,2014,USD,US Dollar,6,Millions,4382.42,6
EDUTEREXPND_T1B,Annual expenditure per student in Bachelorâ€™s; masterâ€™s; doctoral or equivalent level,AUS,Australia,2012,USD,US Dollar,0,Units,18795.096999999998,0
SOXNOX_T1B,Nitrogene Oxides Emmissions,AUS,Australia,2011,TONNE,Tonnes,3,Thousands,2460.238,3
SOXNOX_T1B,Nitrogene Oxides Emmissions,AUS,Australia,2012,TONNE,Tonnes,3,Thousands,2646.795,3
SOXNOX_T1B,Nitrogene Oxides Emmissions,AUS,Australia,2013,TONNE,Tonnes,3,Thousands,2741.8579999999997,3
SOXNOX_T1B,Nitrogene Oxides Emmissions,AUS,Australia,2014,TONNE,Tonnes,3,Thousands,2780.2690000000002,3
SOXNOX_T1B,Nitrogene Oxides Emmissions,AUS,Australia,2015,TONNE,Tonnes,3,Thousands,2867.08,3
DOCTOR_G2A, General practitioners as a percentage of total physicians,AUS,Australia,2014,PC,Percentage,0,Units,45.01,0
DOCTOR_G2B, Specialists as a percentage of total physicians,AUS,Australia,2014,PC,Percentage,0,Units,47.31,0
PISA_T1J,Standard error on the reading scale in PISA 2012: men,AUS,Australia,2012,SE,Standard-error,0,Units,2.2931392999999995,0
TEACHERS_T1B,Teachers'starting salary,AUS,Australia,2013,USD,US Dollar,0,Units,39176.805,0
PRODINCOM_G2A,Levels of GDP per capita and labour productivity - Percentage gap with respect to US GDP per capita,AUS,Australia,2011,PC_PNT,Percentage points,0,Units,-10.805182,0
PRODINCOM_G2A,Levels of GDP per capita and labour productivity - Percentage gap with respect to US GDP per capita,AUS,Australia,2012,PC_PNT,Percentage points,0,Units,-14.833195000000002,0
PRODINCOM_G2A,Levels of GDP per capita and labour productivity - Percentage gap with respect to US GDP per capita,AUS,Australia,2013,PC_PNT,Percentage points,0,Units,-9.912189,0
PRODINCOM_G2A,Levels of GDP per capita and labour productivity - Percentage gap with respect to US GDP per capita,AUS,Australia,2014,PC_PNT,Percentage points,0,Units,-13.282134,0
PRODINCOM_G2A,Levels of GDP per capita and labour productivity - Percentage gap with respect to US GDP per capita,AUS,Australia,2015,PC_PNT,Percentage points,0,Units,-16.489749,0
PRODINCOM_G2B,Levels of GDP per capita and labour productivity - Effect of labour utilisation,AUS,Australia,2011,PC_PNT,Percentage points,0,Units,15.063404,0
PRODINCOM_G2B,Levels of GDP per capita and labour productivity - Effect of labour utilisation,AUS,Australia,2012,PC_PNT,Percentage points,0,Units,12.032785,0
PRODINCOM_G2B,Levels of GDP per capita and labour productivity - Effect of labour utilisation,AUS,Australia,2013,PC_PNT,Percentage points,0,Units,10.350473,0
PRODINCOM_G2B,Levels of GDP per capita and labour productivity - Effect of labour utilisation,AUS,Australia,2014,PC_PNT,Percentage points,0,Units,9.359528,0
PRODINCOM_G2B,Levels of GDP per capita and labour productivity - Effect of labour utilisation,AUS,Australia,2015,PC_PNT,Percentage points,0,Units,6.5196760000000005,0
PRODINCOM_G2C,Levels of GDP per capita and labour productivity - Percentage gap with respect to US GDP per hour worked,AUS,Australia,2011,PC_PNT,Percentage points,0,Units,-22.482027,0
PRODINCOM_G2C,Levels of GDP per capita and labour productivity - Percentage gap with respect to US GDP per hour worked,AUS,Australia,2012,PC_PNT,Percentage points,0,Units,-23.980462,0
PRODINCOM_G2C,Levels of GDP per capita and labour productivity - Percentage gap with respect to US GDP per hour worked,AUS,Australia,2013,PC_PNT,Percentage points,0,Units,-18.362098,0
PRODINCOM_G2C,Levels of GDP per capita and labour productivity - Percentage gap with respect to US GDP per hour worked,AUS,Australia,2014,PC_PNT,Percentage points,0,Units,-20.703877,0
PRODINCOM_G2C,Levels of GDP per capita and labour productivity - Percentage gap with respect to US GDP per hour worked,AUS,Australia,2015,PC_PNT,Percentage points,0,Units,-21.601103,0
PISA_T1K,Mean scores on the reading scale in PISA 2012: women,AUS,Australia,2012,AVSCORE,Average score,0,Units,529.54228,0
TEACHERS_T1C,Teachersâ€™salary after 10 years of experience,AUS,Australia,2013,USD,US Dollar,0,Units,56334.507000000005,0
DOCTOR_G3, Medical graduates,AUS,Australia,2011,100000HAB,Per 100 000 inhabitants,0,Units,13.48,0
DOCTOR_G3, Medical graduates,AUS,Australia,2012,100000HAB,Per 100 000 inhabitants,0,Units,13.98,0
DOCTOR_G3, Medical graduates,AUS,Australia,2013,100000HAB,Per 100 000 inhabitants,0,Units,15.44,0
DOCTOR_G3, Medical graduates,AUS,Australia,2014,100000HAB,Per 100 000 inhabitants,0,Units,15.3,0
DOCTOR_G3, Medical graduates,AUS,Australia,2015,100000HAB,Per 100 000 inhabitants,0,Units,15.73,0
NURSE_G3, Nursing graduates,AUS,Australia,2011,100000HAB,Per 100 000 inhabitants,0,Units,71.64,0
NURSE_G3, Nursing graduates,AUS,Australia,2012,100000HAB,Per 100 000 inhabitants,0,Units,71.65,0
NURSE_G3, Nursing graduates,AUS,Australia,2013,100000HAB,Per 100 000 inhabitants,0,Units,74.76,0
NURSE_G3, Nursing graduates,AUS,Australia,2014,100000HAB,Per 100 000 inhabitants,0,Units,75.75,0
NURSE_G3, Nursing graduates,AUS,Australia,2015,100000HAB,Per 100 000 inhabitants,0,Units,76.69,0
EDUTEREXPND_T1C,Annual expenditure per student in all tertiary education,AUS,Australia,2012,USD,US Dollar,0,Units,16858.51,0
AGEDPOPGEO_G3A,Elderly dependency rate in urban regions,AUS,Australia,2014,PC,Percentage,0,Units,20.2,0
AGEDPOPGEO_G3B,Elderly dependency rate,AUS,Australia,2014,PC,Percentage,0,Units,22.1,0
AGEDPOPGEO_G3C,Elderly dependency rate in rural regions,AUS,Australia,2014,PC,Percentage,0,Units,28.2,0
TERTIARY_T1C,Population aged 25-34 in upper secondary or post-secondary non-tertiary,AUS,Australia,2014,PC,Percentage,0,Units,48.13139,0
TERTIARY_T1D,Population aged 25-64 below upper secondary,AUS,Australia,2014,PC,Percentage,0,Units,22.895836,0
EDUTEREXPND_T1D,Annual expenditure per student in all tertiary education excluding R&D activities,AUS,Australia,2012,USD,US Dollar,0,Units,10455.076,0
TEACHERS_T1D,Teachersâ€™salary after 15 years of experience,AUS,Australia,2013,USD,US Dollar,0,Units,56334.507000000005,0
PISA_T1L,Standard error on the reading scale in PISA 2012: women,AUS,Australia,2012,SE,Standard-error,0,Units,1.9674035,0
PISA_T1A,Mean scores on the science scale in PISA 2012: men,AUS,Australia,2012,AVSCORE,Average score,0,Units,523.72821,0
TEACHERS_T1E,Teachersâ€™salary at top of scale,AUS,Australia,2013,USD,US Dollar,0,Units,56520.872,0
EDUTEREXPND_T1E,Change in expenditure in tertiary education,AUS,Australia,2012,IDX,Index,0,Units,132.58812,0
TERTIARY_T1E,Population aged 25-64 below upper secondary,AUS,Australia,2014,PC,Percentage,0,Units,35.202309,0
TERTIARY_T1F,Population aged 25-64 in upper secondary or post-secondary non-tertiary,AUS,Australia,2014,PC,Percentage,0,Units,41.901855,0
EDUTEREXPND_T1F,Change in the number of students in tertiary education,AUS,Australia,2012,IDX,Index,0,Units,132.83834,0
PISA_T1B,Standard error on the science scale in PISA 2012: men,AUS,Australia,2012,SE,Standard-error,0,Units,2.5082153999999997,0
PISA_T1C,Mean scores on the science scale in PISA 2012: women,AUS,Australia,2012,AVSCORE,Average score,0,Units,519.12447,0
NETMIGR_T1G,Permanent inflows by category of entry: total,AUS,Australia,2011,PER,Persons,3,Thousands,219478.0,3
NETMIGR_T1G,Permanent inflows by category of entry: total,AUS,Australia,2012,PER,Persons,3,Thousands,245080.0,3
NETMIGR_T1G,Permanent inflows by category of entry: total,AUS,Australia,2013,PER,Persons,3,Thousands,254411.0,3
NETMIGR_T1G,Permanent inflows by category of entry: total,AUS,Australia,2014,PER,Persons,3,Thousands,231042.0,3
NETMIGR_T1G,Permanent inflows by category of entry: total,AUS,Australia,2015,PER,Persons,3,Thousands,226218.0,3
EXEDULV_T1H,Public expenditure per student in primary; secondary and post-secondary non-tertiary education as a percentage of total expenditures,AUS,Australia,2012,PC,Percentage,0,Units,82.405714,0
PISA_T1D,Standard error on the science scale in PISA 2012: women,AUS,Australia,2012,SE,Standard-error,0,Units,2.0973717,0
PISA_T1E,Mean scores on the mathematics scale in PISA 2012: men,AUS,Australia,2012,AVSCORE,Average score,0,Units,510.11485,0
PISA_T1F,Standard error on the mathematics scale in PISA 2012: men,AUS,Australia,2012,SE,Standard-error,0,Units,2.4053598999999997,0
EVOPOP_T1,Population levels,AUS,Australia,2011,HAB,Inhabitants,3,Thousands,22340.0,3
EVOPOP_T1,Population levels,AUS,Australia,2012,HAB,Inhabitants,3,Thousands,22728.0,3
EVOPOP_T1,Population levels,AUS,Australia,2013,HAB,Inhabitants,3,Thousands,23126.0,3
EVOPOP_T1,Population levels,AUS,Australia,2014,HAB,Inhabitants,3,Thousands,23491.0,3
PISA_T1H,Standard error on the mathematics scale in PISA 2012: women,AUS,Australia,2012,AVSCORE,Average score,0,Units,2.0407752,0
MIGFORPOP_T1A,Foreign-born population,AUS,Australia,2011,PC,Percentage,0,Units,26.94,0
MIGFORPOP_T1A,Foreign-born population,AUS,Australia,2012,PC,Percentage,0,Units,27.326999999999998,0
MIGFORPOP_T1A,Foreign-born population,AUS,Australia,2013,PC,Percentage,0,Units,27.713,0
NETMIGR_T1C,Permanent inflows by category of entry: accompanying family of workers,AUS,Australia,2011,PER,Persons,3,Thousands,57544.85,3
NETMIGR_T1C,Permanent inflows by category of entry: accompanying family of workers,AUS,Australia,2012,PER,Persons,3,Thousands,66021.375,3
NETMIGR_T1C,Permanent inflows by category of entry: accompanying family of workers,AUS,Australia,2013,PER,Persons,3,Thousands,65905.203,3
NETMIGR_T1C,Permanent inflows by category of entry: accompanying family of workers,AUS,Australia,2014,PER,Persons,3,Thousands,66974.55,3
NETMIGR_T1C,Permanent inflows by category of entry: accompanying family of workers,AUS,Australia,2015,PER,Persons,3,Thousands,68231.31599999999,3
NETMIGR_T1E,Permanent inflows by category of entry: humanitarian,AUS,Australia,2011,PER,Persons,3,Thousands,13976.0,3
NETMIGR_T1E,Permanent inflows by category of entry: humanitarian,AUS,Australia,2012,PER,Persons,3,Thousands,13759.0,3
NETMIGR_T1E,Permanent inflows by category of entry: humanitarian,AUS,Australia,2013,PER,Persons,3,Thousands,20019.0,3
NETMIGR_T1E,Permanent inflows by category of entry: humanitarian,AUS,Australia,2014,PER,Persons,3,Thousands,13768.0,3
NETMIGR_T1E,Permanent inflows by category of entry: humanitarian,AUS,Australia,2015,PER,Persons,3,Thousands,13756.0,3
NETMIGR_T1D,Permanent inflows by category of entry: family,AUS,Australia,2011,PER,Persons,3,Thousands,54708.0,3
NETMIGR_T1D,Permanent inflows by category of entry: family,AUS,Australia,2012,PER,Persons,3,Thousands,58604.0,3
NETMIGR_T1D,Permanent inflows by category of entry: family,AUS,Australia,2013,PER,Persons,3,Thousands,60185.0,3
NETMIGR_T1D,Permanent inflows by category of entry: family,AUS,Australia,2014,PER,Persons,3,Thousands,61112.0,3
NETMIGR_T1D,Permanent inflows by category of entry: family,AUS,Australia,2015,PER,Persons,3,Thousands,61085.0,3
NETMIGR_T1B,Permanent inflows by category of entry: free movements,AUS,Australia,2011,PER,Persons,3,Thousands,34567.0,3
NETMIGR_T1B,Permanent inflows by category of entry: free movements,AUS,Australia,2012,PER,Persons,3,Thousands,44304.0,3
NETMIGR_T1B,Permanent inflows by category of entry: free movements,AUS,Australia,2013,PER,Persons,3,Thousands,41230.0,3
NETMIGR_T1B,Permanent inflows by category of entry: free movements,AUS,Australia,2014,PER,Persons,3,Thousands,27274.0,3
NETMIGR_T1B,Permanent inflows by category of entry: free movements,AUS,Australia,2015,PER,Persons,3,Thousands,23365.0,3
NETMIGR_T1A,Permanent inflows by category of entry: work,AUS,Australia,2011,PER,Persons,3,Thousands,56180.15,3
NETMIGR_T1A,Permanent inflows by category of entry: work,AUS,Australia,2012,PER,Persons,3,Thousands,59733.625,3
NETMIGR_T1A,Permanent inflows by category of entry: work,AUS,Australia,2013,PER,Persons,3,Thousands,63067.797,3
NETMIGR_T1A,Permanent inflows by category of entry: work,AUS,Australia,2014,PER,Persons,3,Thousands,61575.45,3
NETMIGR_T1A,Permanent inflows by category of entry: work,AUS,Australia,2015,PER,Persons,3,Thousands,59542.684,3
NETMIGR_T1F,Permanent inflows by category of entry: Other,AUS,Australia,2011,PER,Persons,3,Thousands,2502.0,3
NETMIGR_T1F,Permanent inflows by category of entry: Other,AUS,Australia,2012,PER,Persons,3,Thousands,2658.0,3
NETMIGR_T1F,Permanent inflows by category of entry: Other,AUS,Australia,2013,PER,Persons,3,Thousands,4004.0,3
NETMIGR_T1F,Permanent inflows by category of entry: Other,AUS,Australia,2014,PER,Persons,3,Thousands,338.0,3
NETMIGR_T1F,Permanent inflows by category of entry: Other,AUS,Australia,2015,PER,Persons,3,Thousands,238.0,3
MIGEDUEMP_T1C,Employment rates of native-born population by educational attainment: Total,AUS,Australia,2011,PC,Percentage,0,Units,77.4,0
MIGEDUEMP_T1C,Employment rates of native-born population by educational attainment: Total,AUS,Australia,2012,PC,Percentage,0,Units,77.1,0
MIGEDUEMP_T1C,Employment rates of native-born population by educational attainment: Total,AUS,Australia,2013,PC,Percentage,0,Units,77.0,0
MIGEDUEMP_T1C,Employment rates of native-born population by educational attainment: Total,AUS,Australia,2014,PC,Percentage,0,Units,76.5,0
MIGEDUEMP_T1C,Employment rates of native-born population by educational attainment: Total,AUS,Australia,2015,PC,Percentage,0,Units,77.2,0
MIGEDUEMP_T1F,Employment rates of foreign-born population by educational attainment: Total,AUS,Australia,2011,PC,Percentage,0,Units,73.1,0
MIGEDUEMP_T1F,Employment rates of foreign-born population by educational attainment: Total,AUS,Australia,2012,PC,Percentage,0,Units,72.9,0
MIGEDUEMP_T1F,Employment rates of foreign-born population by educational attainment: Total,AUS,Australia,2013,PC,Percentage,0,Units,72.7,0
MIGEDUEMP_T1F,Employment rates of foreign-born population by educational attainment: Total,AUS,Australia,2014,PC,Percentage,0,Units,72.7,0
MIGEDUEMP_T1F,Employment rates of foreign-born population by educational attainment: Total,AUS,Australia,2015,PC,Percentage,0,Units,73.0,0
MIGUNEMP_T1A,Unemployment rates of native-born populations: Men,AUS,Australia,2012,PC,Percentage,0,Units,5.44,0
MIGUNEMP_T1A,Unemployment rates of native-born populations: Men,AUS,Australia,2014,PC,Percentage,0,Units,6.3,0
MIGUNEMP_T1B,Unemployment rates of foreign-born populations: Men,AUS,Australia,2012,PC,Percentage,0,Units,4.9030000000000005,0
MIGUNEMP_T1B,Unemployment rates of foreign-born populations: Men,AUS,Australia,2014,PC,Percentage,0,Units,5.6,0
MIGUNEMP_T1C,Unemployment rates of native-born populations: Women,AUS,Australia,2012,PC,Percentage,0,Units,5.226,0
MIGUNEMP_T1C,Unemployment rates of native-born populations: Women,AUS,Australia,2014,PC,Percentage,0,Units,6.1,0
MIGUNEMP_T1D,Unemployment rates of foreign-born populations: Women,AUS,Australia,2012,PC,Percentage,0,Units,5.996,0
MIGUNEMP_T1D,Unemployment rates of foreign-born populations: Women,AUS,Australia,2014,PC,Percentage,0,Units,6.6,0
MIGUNEMP_T1E,Unemployment rates of native-born populations: Total,AUS,Australia,2012,PC,Percentage,0,Units,5.34,0
MIGUNEMP_T1E,Unemployment rates of native-born populations: Total,AUS,Australia,2014,PC,Percentage,0,Units,6.2,0
MIGUNEMP_T1F,Unemployment rates of foreign-born populations: Total,AUS,Australia,2012,PC,Percentage,0,Units,5.392,0
MIGUNEMP_T1F,Unemployment rates of foreign-born populations: Total,AUS,Australia,2014,PC,Percentage,0,Units,6.1,0
EVOGDP_T1,Real GDP growth,AUS,Australia,2011,GRWH,Growth rate,0,Units,3.9009,0
EVOGDP_T1,Real GDP growth,AUS,Australia,2012,GRWH,Growth rate,0,Units,2.6157225,0
EVOGDP_T1,Real GDP growth,AUS,Australia,2013,GRWH,Growth rate,0,Units,2.568707,0
EVOGDP_T1,Real GDP growth,AUS,Australia,2014,GRWH,Growth rate,0,Units,2.3360755,0
EVOGDP_T1,Real GDP growth,AUS,Australia,2015,GRWH,Growth rate,0,Units,2.846755,0
INVRATES_T1,Gross fixed capital formation,AUS,Australia,2011,GRWH,Growth rate,0,Units,11.536487,0
INVRATES_T1,Gross fixed capital formation,AUS,Australia,2012,GRWH,Growth rate,0,Units,3.0037409999999998,0
INVRATES_T1,Gross fixed capital formation,AUS,Australia,2013,GRWH,Growth rate,0,Units,-1.7611880000000002,0
INVRATES_T1,Gross fixed capital formation,AUS,Australia,2014,GRWH,Growth rate,0,Units,-3.163672,0
INVRATES_T1,Gross fixed capital formation,AUS,Australia,2015,GRWH,Growth rate,0,Units,-3.43695,0
VALADDAC_T1A,Value added in agriculture; hunting and forestry; fishing,AUS,Australia,2011,PC,Percentage,0,Units,2.4032744,0
VALADDAC_T1A,Value added in agriculture; hunting and forestry; fishing,AUS,Australia,2012,PC,Percentage,0,Units,2.4312519,0
VALADDAC_T1A,Value added in agriculture; hunting and forestry; fishing,AUS,Australia,2013,PC,Percentage,0,Units,2.3706235,0
VALADDAC_T1A,Value added in agriculture; hunting and forestry; fishing,AUS,Australia,2014,PC,Percentage,0,Units,2.5432351000000004,0
VALADDAC_T1A,Value added in agriculture; hunting and forestry; fishing,AUS,Australia,2015,PC,Percentage,0,Units,2.5677243,0
VALADDAC_T1B,Value added in industry; including energy,AUS,Australia,2011,PC,Percentage,0,Units,19.731673,0
VALADDAC_T1B,Value added in industry; including energy,AUS,Australia,2012,PC,Percentage,0,Units,18.238799,0
VALADDAC_T1B,Value added in industry; including energy,AUS,Australia,2013,PC,Percentage,0,Units,18.620907,0
VALADDAC_T1B,Value added in industry; including energy,AUS,Australia,2014,PC,Percentage,0,Units,16.603504,0
VALADDAC_T1B,Value added in industry; including energy,AUS,Australia,2015,PC,Percentage,0,Units,15.485994,0
VALADDAC_T1C,Value added in construction,AUS,Australia,2011,PC,Percentage,0,Units,8.2839004,0
VALADDAC_T1C,Value added in construction,AUS,Australia,2012,PC,Percentage,0,Units,8.5689981,0
VALADDAC_T1C,Value added in construction,AUS,Australia,2013,PC,Percentage,0,Units,8.6714752,0
VALADDAC_T1C,Value added in construction,AUS,Australia,2014,PC,Percentage,0,Units,8.7247339,0
VALADDAC_T1C,Value added in construction,AUS,Australia,2015,PC,Percentage,0,Units,8.5290373,0
VALADDAC_T1D,Value added in distributive trade; repairs; transport; accommodation and food services activities,AUS,Australia,2011,PC,Percentage,0,Units,16.857894,0
VALADDAC_T1D,Value added in distributive trade; repairs; transport; accommodation and food services activities,AUS,Australia,2012,PC,Percentage,0,Units,17.048832,0
VALADDAC_T1D,Value added in distributive trade; repairs; transport; accommodation and food services activities,AUS,Australia,2013,PC,Percentage,0,Units,16.477930999999998,0
VALADDAC_T1D,Value added in distributive trade; repairs; transport; accommodation and food services activities,AUS,Australia,2014,PC,Percentage,0,Units,16.652657,0
VALADDAC_T1D,Value added in distributive trade; repairs; transport; accommodation and food services activities,AUS,Australia,2015,PC,Percentage,0,Units,16.850444,0
VALADDAC_T1E,Value added in Information and communication,AUS,Australia,2011,PC,Percentage,0,Units,2.9950476000000004,0
VALADDAC_T1E,Value added in Information and communication,AUS,Australia,2012,PC,Percentage,0,Units,2.9408905,0
VALADDAC_T1E,Value added in Information and communication,AUS,Australia,2013,PC,Percentage,0,Units,2.8789822,0
VALADDAC_T1E,Value added in Information and communication,AUS,Australia,2014,PC,Percentage,0,Units,2.8855923999999997,0
VALADDAC_T1E,Value added in Information and communication,AUS,Australia,2015,PC,Percentage,0,Units,2.8417399,0
VALADDAC_T1F,Value added in financial and insurance activities,AUS,Australia,2011,PC,Percentage,0,Units,8.342829,0
VALADDAC_T1F,Value added in financial and insurance activities,AUS,Australia,2012,PC,Percentage,0,Units,8.5262909,0
VALADDAC_T1F,Value added in financial and insurance activities,AUS,Australia,2013,PC,Percentage,0,Units,8.5975334,0
VALADDAC_T1F,Value added in financial and insurance activities,AUS,Australia,2014,PC,Percentage,0,Units,9.133266699999998,0
VALADDAC_T1F,Value added in financial and insurance activities,AUS,Australia,2015,PC,Percentage,0,Units,9.4940124,0
VALADDAC_T1G,Value added in real estate activities,AUS,Australia,2011,PC,Percentage,0,Units,11.321172,0
VALADDAC_T1G,Value added in real estate activities,AUS,Australia,2012,PC,Percentage,0,Units,11.783214,0
VALADDAC_T1G,Value added in real estate activities,AUS,Australia,2013,PC,Percentage,0,Units,11.958575999999999,0
VALADDAC_T1G,Value added in real estate activities,AUS,Australia,2014,PC,Percentage,0,Units,12.217319,0
VALADDAC_T1G,Value added in real estate activities,AUS,Australia,2015,PC,Percentage,0,Units,12.486639,0
EVOVA_T1A,Real value added in agriculture; hunting and forestry; fishing,AUS,Australia,2011,GRWH,Growth rate,0,Units,0.9736106,0
EVOVA_T1A,Real value added in agriculture; hunting and forestry; fishing,AUS,Australia,2012,GRWH,Growth rate,0,Units,-0.72799897,0
EVOVA_T1A,Real value added in agriculture; hunting and forestry; fishing,AUS,Australia,2013,GRWH,Growth rate,0,Units,1.1443529,0
EVOVA_T1A,Real value added in agriculture; hunting and forestry; fishing,AUS,Australia,2014,GRWH,Growth rate,0,Units,1.4265549,0
EVOVA_T1A,Real value added in agriculture; hunting and forestry; fishing,AUS,Australia,2015,GRWH,Growth rate,0,Units,-7.901229400000001,0
EVOVA_T1B,Real value added in industry; including energy,AUS,Australia,2011,GRWH,Growth rate,0,Units,3.8949423999999997,0
EVOVA_T1B,Real value added in industry; including energy,AUS,Australia,2012,GRWH,Growth rate,0,Units,3.4311262000000005,0
EVOVA_T1B,Real value added in industry; including energy,AUS,Australia,2013,GRWH,Growth rate,0,Units,3.9155013,0
EVOVA_T1B,Real value added in industry; including energy,AUS,Australia,2014,GRWH,Growth rate,0,Units,3.278682,0
EVOVA_T1B,Real value added in industry; including energy,AUS,Australia,2015,GRWH,Growth rate,0,Units,2.0692409,0
EVOVA_T1D,Real value added in distributive trade; repairs; transport; accommodation and food services activities,AUS,Australia,2011,GRWH,Growth rate,0,Units,4.3774142,0
EVOVA_T1D,Real value added in distributive trade; repairs; transport; accommodation and food services activities,AUS,Australia,2012,GRWH,Growth rate,0,Units,2.9435447,0
EVOVA_T1D,Real value added in distributive trade; repairs; transport; accommodation and food services activities,AUS,Australia,2013,GRWH,Growth rate,0,Units,0.20329489,0
