street,city,zip,state,beds,baths,sq_m,type,sale_date,price,latitude,longitude
4882 BANDALIN WAY,Sacramento,95823,CA,4,2,123.47,Residential,2008-05-21,122682,38.468173,-121.444071
7511 OAKVALE CT,North Highlands,95660,CA,4,2,115.2,Residential,2008-05-21,123000,38.702791999999995,-121.38221000000001
9 PASTURE CT,Sacramento,95834,CA,3,2,148.74,Residential,2008-05-21,124100,38.628631,-121.488097
3729 BAINBRIDGE DR,North Highlands,95660,CA,3,2,83.7,Residential,2008-05-21,125000,38.701499,-121.37621999999999
3828 BLACKFOOT WAY,Antelope,95843,CA,3,2,101.08,Residential,2008-05-21,126640,38.709740000000004,-121.37377
4108 NORTON WAY,Sacramento,95820,CA,3,1,89.46,Residential,2008-05-21,127281,38.537526,-121.478315
1469 JANRICK AVE,Sacramento,95832,CA,3,2,103.96,Residential,2008-05-21,129000,38.476471999999994,-121.50171100000001
9861 CULP WAY,Sacramento,95827,CA,4,2,128.21,Residential,2008-05-21,131200,38.558423,-121.32794799999999
7825 CREEK VALLEY CIR,Sacramento,95828,CA,3,2,115.94,Residential,2008-05-21,132000,38.472122,-121.404199
5201 LAGUNA OAKS DR Unit 140,Elk Grove,95758,CA,2,2,96.53,Condo,2008-05-21,133000,38.423251,-121.44448899999999
6768 MEDORA DR,North Highlands,95660,CA,3,2,107.02,Residential,2008-05-21,134555,38.691161,-121.37191999999999
3100 EXPLORER DR,Sacramento,95827,CA,3,2,128.21,Residential,2008-05-21,136500,38.566663,-121.33264399999999
7944 DOMINION WAY,Elverta,95626,CA,3,2,103.68,Residential,2008-05-21,138750,38.713182,-121.411227
5201 LAGUNA OAKS DR Unit 162,Elk Grove,95758,CA,2,2,96.53,Condo,2008-05-21,141000,38.423251,-121.44448899999999
3920 SHINING STAR DR,Sacramento,95823,CA,3,2,131.74,Residential,2008-05-21,146250,38.48742,-121.46245900000001
5031 CORVAIR ST,North Highlands,95660,CA,3,2,100.52,Residential,2008-05-21,147308,38.658246000000005,-121.375469
7661 NIXOS WAY,Sacramento,95823,CA,4,2,136.75,Residential,2008-05-21,148750,38.479553,-121.46331699999999
7044 CARTHY WAY,Sacramento,95828,CA,4,2,106.47,Residential,2008-05-21,149593,38.49857,-121.420925
2442 LARKSPUR LN,Sacramento,95825,CA,1,1,70.61,Condo,2008-05-21,150000,38.58514,-121.40373600000001
4800 WESTLAKE PKWY Unit 2109,Sacramento,95835,CA,2,2,121.14,Condo,2008-05-21,152000,38.658812,-121.542345
2178 63RD AVE,Sacramento,95822,CA,3,2,112.13,Residential,2008-05-21,154000,38.493955,-121.48966000000001
8718 ELK WAY,Elk Grove,95624,CA,3,2,98.1,Residential,2008-05-21,156896,38.41653,-121.379653
5708 RIDGEPOINT DR,Antelope,95843,CA,2,2,96.9,Residential,2008-05-21,161250,38.72027,-121.33155500000001
7315 KOALA CT,North Highlands,95660,CA,4,2,147.44,Residential,2008-05-21,161500,38.699251000000004,-121.37141399999999
2622 ERIN DR,Sacramento,95833,CA,4,1,104.05,Residential,2008-05-21,164000,38.613765,-121.488694
8421 SUNBLAZE WAY,Sacramento,95823,CA,4,2,146.79,Residential,2008-05-21,165000,38.450542999999996,-121.432538
7420 ALIX PKWY,Sacramento,95823,CA,4,1,181.62,Residential,2008-05-21,166357,38.489405,-121.45281100000001
3820 NATOMA WAY,Sacramento,95838,CA,4,2,153.85,Residential,2008-05-21,166357,38.636748,-121.42215900000001
4431 GREEN TREE DR,Sacramento,95823,CA,3,2,137.22,Residential,2008-05-21,168000,38.499953999999995,-121.45446899999999
9417 SARA ST,Elk Grove,95624,CA,3,2,110.37,Residential,2008-05-21,170000,38.415518,-121.370527
8299 HALBRITE WAY,Sacramento,95828,CA,4,2,147.71,Residential,2008-05-21,173000,38.473814000000004,-121.4
7223 KALLIE KAY LN,Sacramento,95823,CA,3,2,135.92,Residential,2008-05-21,174250,38.477553,-121.419463
8156 STEINBECK WAY,Sacramento,95828,CA,4,2,159.23,Residential,2008-05-21,174313,38.474853,-121.406326
7957 VALLEY GREEN DR,Sacramento,95823,CA,3,2,110.09,Residential,2008-05-21,178480,38.465184,-121.434925
1122 WILD POPPY CT,Galt,95632,CA,3,2,130.62,Residential,2008-05-21,178760,38.287789000000004,-121.294715
4520 BOMARK WAY,Sacramento,95842,CA,4,2,180.51,Multi-Family,2008-05-21,179580,38.665724,-121.358576
9012 KIEFER BLVD,Sacramento,95826,CA,3,2,108.88,Residential,2008-05-21,181000,38.547011,-121.36621699999999
5332 SANDSTONE ST,Carmichael,95608,CA,3,1,107.02,Residential,2008-05-21,181872,38.662105,-121.31394499999999
5993 SAWYER CIR,Sacramento,95823,CA,4,3,171.96,Residential,2008-05-21,182587,38.4473,-121.43521799999999
4844 CLYDEBANK WAY,Antelope,95843,CA,3,2,112.88,Residential,2008-05-21,182716,38.714609,-121.34788700000001
306 CAMELLIA WAY,Galt,95632,CA,3,2,104.98,Residential,2008-05-21,182750,38.260443,-121.29786399999999
9021 MADISON AVE,Orangevale,95662,CA,4,2,148.92,Residential,2008-05-21,183200,38.664186,-121.21751100000002
404 6TH ST,Galt,95632,CA,3,1,137.4,Residential,2008-05-21,188741,38.251808000000004,-121.302493
8317 SUNNY CREEK WAY,Sacramento,95823,CA,3,2,131.92,Residential,2008-05-21,189000,38.459041,-121.424644
2617 BASS CT,Sacramento,95826,CA,3,2,118.91,Residential,2008-05-21,192067,38.560767,-121.377471
7005 TIANT WAY,Elk Grove,95758,CA,3,2,147.34,Residential,2008-05-21,194000,38.422810999999996,-121.423285
7895 CABER WAY,Antelope,95843,CA,3,2,126.53,Residential,2008-05-21,194818,38.711279,-121.393449
7624 BOGEY CT,Sacramento,95828,CA,4,4,200.85,Multi-Family,2008-05-21,195000,38.480090000000004,-121.415102
6930 HAMPTON COVE WAY,Sacramento,95823,CA,3,2,117.61,Residential,2008-05-21,198000,38.44004,-121.421012
8708 MESA BROOK WAY,Elk Grove,95624,CA,4,2,159.33,Residential,2008-05-21,199500,38.44076,-121.385792
120 GRANT LN,Folsom,95630,CA,3,2,169.08,Residential,2008-05-21,200000,38.687742,-121.17103999999999
5907 ELLERSLEE DR,Carmichael,95608,CA,3,1,86.96,Residential,2008-05-21,200000,38.664468,-121.32683
17 SERASPI CT,Sacramento,95834,CA,0,0,0.0,Residential,2008-05-21,206000,38.631481,-121.50188
170 PENHOW CIR,Sacramento,95834,CA,3,2,140.38,Residential,2008-05-21,208000,38.653439,-121.535169
8345 STAR THISTLE WAY,Sacramento,95823,CA,4,2,147.71,Residential,2008-05-21,212864,38.454349,-121.43923899999999
9080 FRESCA WAY,Elk Grove,95758,CA,4,2,148.27,Residential,2008-05-21,221000,38.427818,-121.424026
391 NATALINO CIR,Sacramento,95835,CA,2,2,124.58,Residential,2008-05-21,221000,38.67307,-121.506373
8373 BLACKMAN WAY,Elk Grove,95624,CA,5,3,198.44,Residential,2008-05-21,223058,38.435435999999996,-121.39453600000002
9837 CORTE DORADO CT,Elk Grove,95624,CA,4,2,150.13,Residential,2008-05-21,227887,38.400676000000004,-121.38101
5037 J PKWY,Sacramento,95823,CA,3,2,137.31,Residential,2008-05-21,231477,38.491399,-121.443547
10245 LOS PALOS DR,Rancho Cordova,95670,CA,3,2,119.57,Residential,2008-05-21,234697,38.593699,-121.31088999999999
6613 NAVION DR,Citrus Heights,95621,CA,4,2,118.64,Residential,2008-05-21,235000,38.702855,-121.31308
2887 AZEVEDO DR,Sacramento,95833,CA,4,2,134.52,Residential,2008-05-21,236000,38.618457,-121.50943899999999
9186 KINBRACE CT,Sacramento,95829,CA,4,3,207.64,Residential,2008-05-21,236685,38.463355,-121.35893600000001
4243 MIDDLEBURY WAY,Mather,95655,CA,3,2,194.44,Residential,2008-05-21,237800,38.547990999999996,-121.280483
1028 FALLON PLACE CT,Rio Linda,95673,CA,3,2,110.83,Residential,2008-05-21,240122,38.693818,-121.441153
4804 NORIKER DR,Elk Grove,95757,CA,3,2,200.95,Residential,2008-05-21,242638,38.400974,-121.448424
7713 HARVEST WOODS DR,Sacramento,95828,CA,3,2,117.89,Residential,2008-05-21,244000,38.478198,-121.41291100000001
2866 KARITSA AVE,Sacramento,95833,CA,0,0,0.0,Residential,2008-05-21,244500,38.626671,-121.52597
6913 RICHEVE WAY,Sacramento,95828,CA,3,1,89.0,Residential,2008-05-21,244960,38.502519,-121.42076899999999
8636 TEGEA WAY,Elk Grove,95624,CA,5,3,233.0,Residential,2008-05-21,245918,38.443832,-121.38208700000001
5448 MAIDSTONE WAY,Citrus Heights,95621,CA,3,2,121.24,Residential,2008-05-21,250000,38.665395000000004,-121.29328799999999
18 OLLIE CT,Elk Grove,95758,CA,4,2,147.81,Residential,2008-05-21,250000,38.444909,-121.412345
4010 ALEX LN,Carmichael,95608,CA,2,2,123.19,Condo,2008-05-21,250134,38.637028,-121.31296299999998
4901 MILLNER WAY,Elk Grove,95757,CA,3,2,171.22,Residential,2008-05-21,254200,38.38692,-121.447349
4818 BRITTNEY LEE CT,Sacramento,95841,CA,4,2,178.47,Residential,2008-05-21,254200,38.653917,-121.34218
5529 LAGUNA PARK DR,Elk Grove,95758,CA,5,3,259.2,Residential,2008-05-21,258000,38.42568,-121.43806200000002
230 CANDELA CIR,Sacramento,95835,CA,3,2,143.16,Residential,2008-05-21,260000,38.656251,-121.547572
4900 71ST ST,Sacramento,95820,CA,3,1,94.57,Residential,2008-05-21,260014,38.53151,-121.421089
12209 CONSERVANCY WAY,Rancho Cordova,95742,CA,0,0,0.0,Residential,2008-05-21,263500,38.553867,-121.219141
4236 NATOMAS CENTRAL DR,Sacramento,95834,CA,3,2,155.33,Condo,2008-05-21,265000,38.648879,-121.544023
5615 LUPIN LN,Pollock Pines,95726,CA,3,2,128.21,Residential,2008-05-21,265000,38.708315,-120.603872
5625 JAMES WAY,Sacramento,95822,CA,3,1,90.58,Residential,2008-05-21,271742,38.523947,-121.484946
7842 LAHONTAN CT,Sacramento,95829,CA,4,3,220.36,Residential,2008-05-21,273750,38.472976,-121.318633
6850 21ST ST,Sacramento,95822,CA,3,2,134.34,Residential,2008-05-21,275086,38.502194,-121.49079499999999
2900 BLAIR RD,Pollock Pines,95726,CA,2,2,119.29,Residential,2008-05-21,280908,38.75485,-120.60476000000001
2064 EXPEDITION WAY,Sacramento,95832,CA,4,3,279.54,Residential,2008-05-21,280987,38.474099,-121.490711
2912 NORCADE CIR,Sacramento,95826,CA,8,4,335.56,Multi-Family,2008-05-21,282400,38.559505,-121.36483899999999
9507 SEA CLIFF WAY,Elk Grove,95758,CA,4,2,191.01,Residential,2008-05-21,285000,38.410992,-121.47904299999999
8882 AUTUMN GOLD CT,Elk Grove,95624,CA,4,2,185.15,Residential,2008-05-21,287417,38.4439,-121.37255
5322 WHITE LOTUS WAY,Elk Grove,95757,CA,3,2,172.52,Residential,2008-05-21,291000,38.391538,-121.442596
1838 CASTRO WAY,Sacramento,95818,CA,2,1,104.61,Residential,2008-05-21,292024,38.556098,-121.49078700000001
10158 CRAWFORD WAY,Sacramento,95827,CA,4,4,205.59,Multi-Family,2008-05-21,297000,38.5703,-121.315735
7731 MASTERS ST,Elk Grove,95758,CA,5,3,231.7,Residential,2008-05-21,297000,38.442031,-121.410873
4925 PERCHERON DR,Elk Grove,95757,CA,3,2,171.22,Residential,2008-05-21,298000,38.401540000000004,-121.447649
2010 PROMONTORY POINT LN,Gold River,95670,CA,2,2,141.21,Residential,2008-05-21,299000,38.62869,-121.261669
4727 SAVOIE WAY,Sacramento,95835,CA,5,3,260.13,Residential,2008-05-21,304037,38.658182000000004,-121.549521
8664 MAGNOLIA HILL WAY,Elk Grove,95624,CA,4,2,214.51,Residential,2008-05-21,311000,38.442352,-121.389675
9570 HARVEST ROSE WAY,Sacramento,95827,CA,5,3,219.9,Residential,2008-05-21,315537,38.555993,-121.340352
4359 CREGAN CT,Rancho Cordova,95742,CA,5,4,326.64,Residential,2008-05-21,320000,38.545128000000005,-121.22492199999999
5337 DUSTY ROSE WAY,Rancho Cordova,95742,CA,0,0,0.0,Residential,2008-05-21,320000,38.528575,-121.2286
8929 SUTTERS GOLD DR,Sacramento,95826,CA,4,3,177.81,Residential,2008-05-21,328360,38.550847999999995,-121.370224
8025 PEERLESS AVE,Orangevale,95662,CA,2,1,157.0,Residential,2008-05-21,334150,38.71147,-121.216214
4620 WELERA WAY,Elk Grove,95757,CA,3,3,253.16,Residential,2008-05-21,335750,38.398609,-121.450148
9723 TERRAPIN CT,Elk Grove,95757,CA,4,3,218.69,Residential,2008-05-21,335750,38.403492,-121.430224
2115 SMOKESTACK WAY,Sacramento,95833,CA,0,0,0.0,Residential,2008-05-21,339500,38.602416,-121.542965
100 REBECCA WAY,Folsom,95630,CA,3,2,202.99,Residential,2008-05-21,344250,38.68479,-121.149199
9488 OAK VILLAGE WAY,Elk Grove,95758,CA,4,2,167.32,Residential,2008-05-21,346210,38.41333,-121.404999
8495 DARTFORD DR,Sacramento,95823,CA,3,3,182.18,Residential,2008-05-21,347029,38.448507,-121.421346
6708 PONTA DO SOL WAY,Elk Grove,95757,CA,4,2,291.16,Residential,2008-05-21,347650,38.380635,-121.42553799999999
4143 SEA MEADOW WAY,Sacramento,95823,CA,4,3,177.91,Residential,2008-05-21,351300,38.465340000000005,-121.45751899999999
3020 RICHARDSON CIR,El Dorado Hills,95762,CA,3,2,0.0,Residential,2008-05-21,352000,38.691299,-121.08175200000001
8082 LINDA ISLE LN,Sacramento,95831,CA,0,0,0.0,Residential,2008-05-21,370000,38.4772,-121.5215
15300 MURIETA SOUTH PKWY,Rancho Murieta,95683,CA,4,3,253.99,Residential,2008-05-21,370500,38.4874,-121.075129
11215 SHARRMONT CT,Wilton,95693,CA,3,2,196.02,Residential,2008-05-21,372000,38.35062,-121.228349
7105 DANBERG WAY,Elk Grove,95757,CA,5,3,293.94,Residential,2008-05-21,375000,38.4019,-121.42038799999999
5579 JERRY LITELL WAY,Sacramento,95835,CA,5,3,334.36,Residential,2008-05-21,381300,38.677126,-121.500519
1050 FOXHALL WAY,Sacramento,95831,CA,4,2,190.82,Residential,2008-05-21,381942,38.509819,-121.51966100000001
7837 ABBINGTON WAY,Antelope,95843,CA,4,2,170.01,Residential,2008-05-21,387731,38.709872999999995,-121.339472
1300 F ST,Sacramento,95814,CA,3,3,151.15,Residential,2008-05-21,391000,38.58355,-121.48728899999999
6801 RAWLEY WAY,Elk Grove,95757,CA,4,3,319.58,Residential,2008-05-21,394470,38.408351,-121.423925
1693 SHELTER COVE DR,Greenwood,95635,CA,3,2,264.4,Residential,2008-05-21,395000,38.945357,-120.908822
9361 WADDELL LN,Elk Grove,95624,CA,4,3,219.16,Residential,2008-05-21,400186,38.450829,-121.349928
10 SEA FOAM CT,Sacramento,95831,CA,3,3,190.64,Residential,2008-05-21,415000,38.487885,-121.545947
6945 RIO TEJO WAY,Elk Grove,95757,CA,5,3,318.93,Residential,2008-05-21,425000,38.385638,-121.42261599999999
4186 TULIP PARK WAY,Rancho Cordova,95742,CA,5,3,335.84,Residential,2008-05-21,430000,38.550616999999995,-121.23526000000001
9278 DAIRY CT,Elk Grove,95624,CA,0,0,0.0,Residential,2008-05-21,445000,38.420338,-121.363757
207 ORANGE BLOSSOM CIR Unit C,Folsom,95630,CA,5,3,249.63,Residential,2008-05-21,460000,38.646273,-121.175322
6507 RIO DE ONAR WAY,Elk Grove,95757,CA,4,3,253.07,Residential,2008-05-21,461000,38.382529999999996,-121.42800700000001
7004 RAWLEY WAY,Elk Grove,95757,CA,4,3,319.58,Residential,2008-05-21,489332,38.406421,-121.422081
6503 RIO DE ONAR WAY,Elk Grove,95757,CA,5,4,325.9,Residential,2008-05-21,510000,38.382529999999996,-121.42803799999999
2217 APPALOOSA CT,Folsom,95630,CA,4,2,228.73,Residential,2008-05-21,539000,38.655167,-121.09017800000001
868 HILDEBRAND CIR,Folsom,95630,CA,0,0,0.0,Residential,2008-05-21,585000,38.670947,-121.097727
6030 PALERMO WAY,El Dorado Hills,95762,CA,4,3,0.0,Residential,2008-05-21,600000,38.672761,-121.05037800000001
4070 REDONDO DR,El Dorado Hills,95762,CA,4,3,0.0,Residential,2008-05-21,606238,38.666807,-121.06483
4004 CRESTA WAY,Sacramento,95864,CA,3,3,216.0,Residential,2008-05-21,660000,38.591618,-121.370626
315 JUMEL CT,El Dorado Hills,95762,CA,6,5,0.0,Residential,2008-05-21,830000,38.669931,-121.05958000000001
6272 LONGFORD DR Unit 1,Citrus Heights,95621,CA,2,1,73.86,Condo,2008-05-20,69000,38.680923,-121.31394499999999
3432 Y ST,Sacramento,95817,CA,4,2,102.1,Residential,2008-05-20,70000,38.554967,-121.468046
9512 EMERALD PARK DR Unit 3,Elk Grove,95624,CA,2,1,78.04,Condo,2008-05-20,71000,38.40573,-121.369832
3132 CLAY ST,Sacramento,95815,CA,2,1,74.32,Residential,2008-05-20,78000,38.624678,-121.439203
5221 38TH AVE,Sacramento,95824,CA,2,1,69.31,Residential,2008-05-20,78400,38.518044,-121.443555
6112 HERMOSA ST,Sacramento,95822,CA,3,1,99.13,Residential,2008-05-20,80000,38.515125,-121.48041599999999
483 ARCADE BLVD,Sacramento,95815,CA,4,2,122.26,Residential,2008-05-20,89000,38.623571000000005,-121.454884
671 SONOMA AVE,Sacramento,95815,CA,3,1,124.21,Residential,2008-05-20,90000,38.622953,-121.450142
5980 79TH ST,Sacramento,95824,CA,2,1,80.64,Residential,2008-05-20,90000,38.518373,-121.41177900000001
7607 ELDER CREEK RD,Sacramento,95824,CA,3,1,85.84,Residential,2008-05-20,92000,38.51055,-121.414768
5028 14TH AVE,Sacramento,95820,CA,2,1,56.67,Residential,2008-05-20,93675,38.53942,-121.446894
14788 NATCHEZ CT,Rancho Murieta,95683,CA,0,0,0.0,Residential,2008-05-20,97750,38.492287,-121.10003200000001
1069 ACACIA AVE,Sacramento,95815,CA,2,1,113.34,Residential,2008-05-20,98000,38.621998,-121.44223799999999
5201 LAGUNA OAKS DR Unit 199,Elk Grove,95758,CA,1,1,67.08,Condo,2008-05-20,98000,38.423251,-121.44448899999999
3847 LAS PASAS WAY,Sacramento,95864,CA,3,1,152.64,Residential,2008-05-20,99000,38.588671999999995,-121.373916
5201 LAGUNA OAKS DR Unit 172,Elk Grove,95758,CA,1,1,67.08,Condo,2008-05-20,100000,38.423251,-121.44448899999999
1121 CREEKSIDE WAY,Galt,95632,CA,3,1,100.33,Residential,2008-05-20,106716,38.241514,-121.31219899999999
5307 CABRILLO WAY,Sacramento,95820,CA,3,1,96.53,Residential,2008-05-20,111000,38.527120000000004,-121.435348
3725 DON JULIO BLVD,North Highlands,95660,CA,3,1,97.64,Residential,2008-05-20,111000,38.67895,-121.379406
4803 MCCLOUD DR,Sacramento,95842,CA,2,2,89.84,Residential,2008-05-20,114800,38.682279,-121.35281699999999
10542 SILVERWOOD WAY,Rancho Cordova,95670,CA,3,1,102.01,Residential,2008-05-20,120108,38.587156,-121.295778
6318 39TH AVE,Sacramento,95824,CA,3,1,97.55,Residential,2008-05-20,123225,38.518941999999996,-121.430158
211 MCDANIEL CIR,Sacramento,95838,CA,3,2,103.12,Residential,2008-05-20,123750,38.636565000000004,-121.46038300000001
3800 LYNHURST WAY,North Highlands,95660,CA,3,1,82.5,Residential,2008-05-20,125000,38.650445,-121.37486100000001
6139 HERMOSA ST,Sacramento,95822,CA,3,2,104.05,Residential,2008-05-20,125000,38.514665,-121.480411
2505 RHINE WAY,Elverta,95626,CA,3,2,100.33,Residential,2008-05-20,126000,38.717976,-121.407684
3692 PAYNE WAY,North Highlands,95660,CA,3,1,88.91,Residential,2008-05-20,129000,38.666540000000005,-121.378298
604 MORRISON AVE,Sacramento,95838,CA,2,1,88.44,Residential,2008-05-20,134000,38.637678,-121.452476
648 SANTA ANA AVE,Sacramento,95838,CA,3,2,112.5,Residential,2008-05-20,135000,38.658478,-121.45040900000001
14 ASHLEY OAKS CT,Sacramento,95815,CA,3,2,117.43,Residential,2008-05-20,135500,38.61779,-121.436765
3174 NORTHVIEW DR,Sacramento,95833,CA,3,1,100.33,Residential,2008-05-20,140000,38.623816999999995,-121.477827
840 TRANQUIL LN,Galt,95632,CA,3,2,117.61,Residential,2008-05-20,140000,38.270617,-121.299205
5333 PRIMROSE DR Unit 19A,Fair Oaks,95628,CA,2,2,92.34,Condo,2008-05-20,142500,38.662785,-121.27627199999999
1035 MILLET WAY,Sacramento,95834,CA,3,2,111.67,Residential,2008-05-20,143500,38.631056,-121.48508000000001
5201 LAGUNA OAKS DR Unit 126,Elk Grove,95758,CA,0,0,0.0,Condo,2008-05-20,145000,38.423251,-121.44448899999999
3328 22ND AVE,Sacramento,95820,CA,2,1,67.08,Residential,2008-05-20,145000,38.532727,-121.47078300000001
8001 HARTWICK WAY,Sacramento,95828,CA,4,2,134.52,Residential,2008-05-20,145000,38.488623,-121.410582
7812 HARTWICK WAY,Sacramento,95828,CA,3,2,110.37,Residential,2008-05-20,145000,38.488611,-121.41280800000001
4207 PAINTER WAY,North Highlands,95660,CA,4,2,109.9,Residential,2008-05-20,146000,38.692915,-121.367497
7458 WINKLEY WAY,Sacramento,95822,CA,3,1,122.63,Residential,2008-05-20,148500,38.487444,-121.49136599999999
8354 SUNRISE WOODS WAY,Sacramento,95828,CA,3,2,103.77,Residential,2008-05-20,149000,38.473288000000004,-121.3963
8116 COTTONMILL CIR,Sacramento,95828,CA,3,2,126.72,Residential,2008-05-20,150000,38.482876,-121.40591200000001
4660 CEDARWOOD WAY,Sacramento,95823,CA,4,2,121.7,Residential,2008-05-20,150000,38.484834,-121.449316
9254 HARROGATE WAY,Elk Grove,95758,CA,2,2,93.46,Residential,2008-05-20,152000,38.420138,-121.41217900000001
6716 TAREYTON WAY,Citrus Heights,95621,CA,3,2,102.56,Residential,2008-05-20,156000,38.693723999999996,-121.30716899999999
2028 ROBERT WAY,Sacramento,95825,CA,2,1,75.25,Residential,2008-05-20,156000,38.609982,-121.41926299999999
9346 AIZENBERG CIR,Elk Grove,95624,CA,2,2,104.33,Residential,2008-05-20,156000,38.41875,-121.370019
4524 LOCH HAVEN WAY,Sacramento,95842,CA,2,1,83.98,Residential,2008-05-20,157788,38.67273,-121.359645
7140 BLUE SPRINGS WAY,Citrus Heights,95621,CA,3,2,107.4,Residential,2008-05-20,161653,38.720653000000006,-121.302241
4631 11TH AVE,Sacramento,95820,CA,2,1,122.72,Residential,2008-05-20,161829,38.541965000000005,-121.452132
3228 BAGGAN CT,Antelope,95843,CA,3,2,129.32,Residential,2008-05-20,165000,38.715346000000004,-121.38816299999999
8515 DARTFORD DR,Sacramento,95823,CA,3,2,133.69,Residential,2008-05-20,168000,38.448288,-121.42071899999999
4500 TIPPWOOD WAY,Sacramento,95842,CA,3,2,107.67,Residential,2008-05-20,169000,38.69951,-121.35998899999998
2460 EL ROCCO WAY,Rancho Cordova,95670,CA,3,2,155.24,Residential,2008-05-20,175000,38.591477000000005,-121.31533999999999
8244 SUNBIRD WAY,Sacramento,95823,CA,3,2,161.65,Residential,2008-05-20,176250,38.457654,-121.431381
5841 VALLEY VALE WAY,Sacramento,95823,CA,3,2,117.52,Residential,2008-05-20,179000,38.461283,-121.434322
7863 CRESTLEIGH CT,Antelope,95843,CA,2,2,93.55,Residential,2008-05-20,180000,38.710889,-121.358876
7129 SPRINGMONT DR,Elk Grove,95758,CA,3,2,159.42,Residential,2008-05-20,180400,38.417649,-121.420294
8284 RED FOX WAY,Elk Grove,95758,CA,4,2,156.54,Residential,2008-05-20,182000,38.417182000000004,-121.397231
2219 EL CANTO CIR,Rancho Cordova,95670,CA,4,2,169.92,Residential,2008-05-20,184500,38.592383,-121.318669
8907 GEMWOOD WAY,Elk Grove,95758,CA,3,2,144.46,Residential,2008-05-20,185000,38.435471,-121.44117299999999
5925 MALEVILLE AVE,Carmichael,95608,CA,4,2,104.05,Residential,2008-05-20,189000,38.666564,-121.325717
7031 CANEVALLEY CIR,Citrus Heights,95621,CA,3,2,105.63,Residential,2008-05-20,194000,38.718693,-121.303619
3949 WILDROSE WAY,Sacramento,95826,CA,3,1,109.07,Residential,2008-05-20,195000,38.543696999999995,-121.36668300000001
4437 MITCHUM CT,Antelope,95843,CA,3,2,129.41,Residential,2008-05-20,200000,38.704407,-121.36113
2778 KAWEAH CT,Cameron Park,95682,CA,3,1,0.0,Residential,2008-05-20,201000,38.694052,-120.995589
1636 ALLENWOOD CIR,Lincoln,95648,CA,4,2,0.0,Residential,2008-05-20,202500,38.879191999999996,-121.309477
8151 QUAIL RIDGE CT,Sacramento,95828,CA,3,2,119.75,Residential,2008-05-20,205000,38.461296000000004,-121.39085800000001
4899 WIND CREEK DR,Sacramento,95838,CA,4,2,167.13,Residential,2008-05-20,205000,38.655887,-121.446119
2370 BIG CANYON CREEK RD,Placerville,95667,CA,3,2,0.0,Residential,2008-05-20,205000,38.74458,-120.79425400000001
6049 HAMBURG WAY,Sacramento,95823,CA,4,3,181.44,Residential,2008-05-20,205000,38.443253000000006,-121.431992
4232 71ST ST,Sacramento,95820,CA,2,1,67.17,Residential,2008-05-20,207000,38.536741,-121.42115
